Arabic,English
بالتأكيد,certainly
لأن,because
لديه,He has
لنا,for us
خلال,during
ظ,ظ
بشكل,In a way
العالم,the world
فحسب,Just
حال,Current
الذهاب,Going
عليها,On it
بـ,b
أعني,namely
فعلت,I did
قال,He said
هم,they
المنزل,the home
عنه,About him
ها,Ha
بشأن,about
أفعل,I do
أكون,I am
اللعنة,the curse
للغاية,extremely
فيه,In it
بين,between
أننا,That we
منك,From you
وهذا,This
لكِ,for you
جيدة,Good
يعني,Meaning
مجرد,merely
أظن,I think
انك,You
مني,Mona
أنّ,that
بالنسبة,with regards
الأمور,Things
فكرة,an idea
أم,or
متى,when
الشيء,The thing
المال,the money
كنا,We were
أقول,I say
عمل,a job
أبداً,never
ستكون,It will be
عليّ,on
أيّ,any
أمر,commander
تقول,She says
توقف,to stop
هؤلاء,these
السيد,Mr.
انظر,Look
لما,when
منه,From him
الطريق,The road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,With him
بحاجة,Need
بسبب,because of
الذين,Those
تستطيع,You can
بأس,Bas
اي,any
بدون,without
لكم,your
تبدو,It looks
أرى,Show
الجحيم,Hell
تكن,Be
اعتقد,I believe
عند,when
آسفة,sorry
حيث,where
دائماً,always
وأنت,And you
تحت,under
حسنًا,Good
تعال,Come here
بالفعل,actually
بل,but rather
فضلك,Please
الأشياء,things
ليلة,night
نفسك,yourself
لكي,in order to
تعتقد,You believe
وهو,He is
بحق,Rightfully
مشكلة,problem
شيئا,something
أرجوك,Please
أذهب,Go
يريد,He wants
تماماً,completely
الـ,The
الوحيد,only
قتل,killing
إنهم,They
الشخص,person
رأيت,I saw
عزيزتي,My dear
طوال,throughout
بهذه,With this
الشرطة,Police
الأن,now
أحب,I love
الذى,that
أيضا,also
بنا,Building
أردت,I wanted
أكن,I am
كلّ,all
النار,fire
سمعت,I heard
اجل,Okay
جميع,all
أَنْ,that
قليلاً,a little
مالذي,What
بأنه,That he
والآن,And now
إلي,to
انتظر,I am waiting
فتاة,girl
كبير,big
يعرف,He knows
او,or
فيها,In it
حسنٌ,Good
الرجال,men
اريد,I want
لأنه,Because
السبب,the reason
سنوات,years
الباب,The door
نذهب,We go
دون,Don
حياتي,my life
لابد,It is necessary
السيارة,car
تريدين,Do you want
خارج,outside
ومن,And from
ثلاثة,three
فعله,He did it
تذهب,go
كانوا,They were
اذهب,Go
الحصول,Get
يقول,He says
الواقع,reality
كثيراً,a lot
اعرف,I know
أنهم,They
سبب,a reason
كبيرة,large
مما,Which
أحتاج,I need
قمت,I did
إنّه,that it
منها,From it
كنتُ,I was
للتو,Just
استطيع,I can
نوع,type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
دولار,dollar
بأنك,That you
لأنني,Because I
الأفضل,The best
دائما,always
جديد,new
الامر,The matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,City
الخاص,private
تعلمين,You know
جميل,Beautiful
بسرعة,quickly
الأرض,the earth
لحظة,moment
الطريقة,The method
طريقة,road
رائعة,amazing
سعيد,happy
دقيقة,minute
لكنه,But he
غرفة,room
إليه,To him
التحدث,Speaking
ثانية,second
دعني,Let me
لكنني,But I
الفتاة,The girl
لمَ,did not
ولم,And did not
أنتم,you all
عظيم,great
انهم,They
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,myself
إليك,Here you
قام,He did
لديها,She has
عام,general
اعلم,Know
يعمل,He works
سأكون,I will be
عيد,holiday
رفاق,comrades
ألم,pain
لهم,to them
تعمل,It works
تتحدث,She speaks
القيام,Doing
الله,God
ساعة,hour
المرة,time
هيّا,Let's go
ترى,See
مهلاً,Wait
جاك,Jack
أنتَ,You
الخير,Good
متأكد,sure
جميعاً,All of them
أحاول,I'm trying
شيئ,something
الموت,death
رقم,number
منهم,Among them
سيارة,car
مجدداً,Again
ايها,Oh
عنك,About you
يفعل,He does
فقد,Lost
ذهبت,I went
المزيد,More
أتمنى,I hope
مات,He died
يتم,It is
لكني,But I
طريق,road
وجدت,I found
وقد,And
أول,first
معها,With her
سعيدة,Happy
لدى,I have
أقصد,I mean
إلا,unless
صباح,morning
الرئيس,President
احد,One
فرصة,an opportunity
الأولى,First
تباً,Damn
يرام,Okay
عليكِ,upon you
يكفي,It is enough
علاقة,relationship
صغيرة,small
الأقل,The least
لأنك,Because you
غريب,strange
لنذهب,Let's go
المدرسة,the school
الصباح,the morning
أفهم,I understand
حين,when
صديقي,my friend
سأذهب,I'm going
أنكِ,That you
تأتي,It comes
الخاصة,Private
أخبرني,Tell me
تقوم,It does
نستطيع,We can
نفسه,same
التى,that
الأطفال,children
حالة,condition
لى,for me
